placeid,name1,name2,displaylatitude,displaylongitude,routinglatitude,routinglongitude,chainname,cqs,status,country,hno,streetname,upaddress,postalcode,pointaddress,admin2,admin3,admin4,admin5,primarycategorynm,FoodNM,WEBADDRESS,PHONE,MOBILE,TOLLFREE,EMAIL,mondayopening,mondayclosing,tuesdayopening,tuesdayclosing,wednesdayopening,wednesdayclosing,thursdayopening,thursdayclosing,fridayopening,fridayclosing,saturdayopening,saturdayclosing,sundayopening,sundayclosing,Link,Action,Last Update Transaction,closed_from,batch_type
360qqgvh-e5f03d2a4d034d4dadd303f27e4d8beb,Guess Accessories,,-6.108696282,106.7408071,-6.10867,106.74094,GUESS,3,ACTIVE,IDN,,Jalan Pantai Indah Utara I,,14470,,,DKI Jakarta,Jakarta Utara,Penjaringan,Clothing and Accessories,,,622000000000,,,,0.416666667,0.458333333,0.416666667,0.458333333,0.416666667,0.458333333,0.416666667,0.458333333,0.416666667,0.458333333,0.416666667,0.458333333,0.416666667,0.458333333,,,,2017-09-30,
360qqgvj-cdfa981bdb325c49bc0fb805553015fb,Nana Eyebrow Beauty Indonesia,,-6.1122473,106.746422,-6.11245,106.74623,,3,ACTIVE,IDN,17,Jalan Marina Raya 2,"Jalan Marina Raya 2 17, RT07/RW02, Kamal Muara Kel., Penjaringan, Jakarta Utara, 14470, Indonesia",14470,,,DKI Jakarta,Jakarta Utara,Penjaringan,Hair and Beauty,,,,,,,0.395833333,0.791666667,0.395833333,0.791666667,0.395833333,0.791666667,0.395833333,0.791666667,0.395833333,0.791666667,0.395833333,0.791666667,0,0,https://drive.google.com/file/d/1DL32wbvA_vL-SKEd6WhDrxerapERXlB5/view?usp=sharing,delete,,2019-03-23,
360jx7ps-e449586b75020b570a9452244f31438c,Corner Kopitiam P.I.K.,,-6.11288,106.74359,-6.11274,106.74363,,3,ACTIVE,IDN,,Jalan Marina Indah,,14470,,,DKI Jakarta,Jakarta Utara,Penjaringan,Coffee Shop,Malaysian,,622000000000,,,,0.333333333,1,0.333333333,1,0.333333333,1,0.333333333,1,0.333333333,1,0.333333333,1,0.333333333,1,https://drive.google.com/file/d/19fgPx29rBxh_NWRUWOFQuRQpwuPP9lXZ/view?usp=sharing,delete,,2024-08-17,
360qqgvj-44062cd8c7480b0c7c72c714eff4e622,Waterboom Jakarta 1,,-6.112974,106.74925,-6.11305,106.74926,,4,ACTIVE,IDN,,Jalan Marina Raya 2,,14470,,,DKI Jakarta,Jakarta Utara,Penjaringan,Convention-Exhibition Center,,,,,,,0.375,0.708333333,0.375,0.708333333,0.375,0.708333333,0.375,0.708333333,0.375,0.708333333,0.375,0.708333333,0.375,0.708333333,https://drive.google.com/file/d/1uhQnt-Sts7xmUcz0Sy86mF8VcRHgEbAd/view?usp=sharing,delete,,2021-06-12,
360qqgvj-bd017eff4e614ee5bab64b79d60915fd,The Golf View Restaurant PIK,,-6.112690148,106.7449951,-6.11256,106.74496,,4,ACTIVE,IDN,,Jalan Marina Raya 2,,14470,,DKI Jakarta,Jakarta,Penjaringan,,Convention-Exhibition Center,,,,,,,0.208333333,0.833333333,0.208333333,0.833333333,0.208333333,0.833333333,0.208333333,0.833333333,0.208333333,0.833333333,0.208333333,0.833333333,0.208333333,0.833333333,,,,2026-01-20,
360qqgvm-fa8f49382729133f463d7747cb421e08,Canvas Living,,-6.093597511,106.7512351,-6.0933,106.75139,,2,ACTIVE,IDN,,Jalan Warakas,,14470,,,DKI Jakarta,Jakarta Utara,Penjaringan,Women's Apparel,,,,,,,0.416666667,0.916666667,0.416666667,0.916666667,0.416666667,0.916666667,0.416666667,0.916666667,0.416666667,0.916666667,0.416666667,0.916666667,0.416666667,0.916666667,https://drive.google.com/file/d/1fw_IclH930Uffqt8hgwEaUC_UF9J5f2X/view?usp=drive_link,delete,,2022-11-08,
360qqgvk-850de1068e9949ddf762d8723ab71cae,Nasi Galunggung,,-6.103023402,106.7413571,-6.10302,106.74062,,3,ACTIVE,IDN,,Jalan Pantai Indah Kapuk Boulevard,,14470,,,DKI Jakarta,Jakarta Utara,Penjaringan,Restaurant,Indonesian,,,,,,0.302083333,0.541666667,0.302083333,0.541666667,0.302083333,0.541666667,0.302083333,0.541666667,0.302083333,0.541666667,0.302083333,0.5625,0.302083333,0.5625,https://drive.google.com/file/d/1JBEE__-xzhM2zzNiFQRkZOW2kMPZoZcr/view?usp=sharing,delete,,2018-08-25,
360qqgvk-427d3fa68b77f861653189c06a0aed0c,Hunan Mifen,,-6.1042454,106.7415959,-6.10436,106.74186,,3,ACTIVE,IDN,,Jalan Kenari Golf 3,,14470,,,DKI Jakarta,Jakarta Utara,Penjaringan,Restaurant,Chinese,,,,,,0.458333333,0.916666667,0.458333333,0.916666667,0.458333333,0.916666667,0.458333333,0.916666667,0.458333333,0.916666667,0.458333333,0.916666667,0.458333333,0.916666667,https://drive.google.com/file/d/1QoQ77pTNd7qoz1oWYfA6pWDjIOQvFSjE/view?usp=sharing,update,,,
360qqgvk-300966d0bc4c4395bec728ec2303ccc5,Bihun Bebek Ahuat,,-6.10352,106.74169,-6.1036,106.74168,,3,ACTIVE,IDN,,Jalan Pantai Indah Kapuk Fresh Market Pik,,14470,,,DKI Jakarta,Jakarta Utara,Penjaringan,Restaurant,Indonesian,,"+6281297469062,+6281369562335",,,,0.270833333,0.552083333,0.270833333,0.552083333,0.270833333,0.552083333,0.270833333,0.552083333,0.270833333,0.552083333,0.270833333,0.5625,0.270833333,0.5625,https://drive.google.com/file/d/1TmEIudYGoPjUXtqNOD6piKtFDhKjYVAY/view?usp=drive_link,update,,,
360qqgvh-45d9d1dc0f83c6b3fa9e15ef2da8f4c5,Pursuit English,,-6.11242,106.74104,-6.1123,106.741,,3,ACTIVE,IDN,,Jade Golf I,,14470,,,DKI Jakarta,Jakarta Utara,Penjaringan,School,,http://pursuitenglish.com,628000000000,,,,0.416666667,0.916666667,0.416666667,0.916666667,0.416666667,0.916666667,0.416666667,0.916666667,0.416666667,0.916666667,0.416666667,0.916666667,0.416666667,0.916666667,,,,2024-06-15,
360qqgvj-70821c66be414fde83ad291f0ce566e0,Celebrity Facial Family Massage Spa,,-6.1119,106.74699,-6.11178,106.74697,,4,ACTIVE,IDN,,Jalan Ebony Golf Raya,,14470,,,DKI Jakarta,Jakarta Utara,Penjaringan,Wellness Center and Services,,,622000000000,,,,0.333333333,0.875,0.333333333,0.875,0.333333333,0.875,0.333333333,0.875,0.333333333,0.875,0.333333333,0.875,0.333333333,0.875,,,,2024-07-28,
360qqgvk-ee9e6413827cfd4fd4e6f7e5f7b780b8,Nagata Dental Pik,,-6.092758827,106.7434227,-6.0926,106.7431,,3,ACTIVE,IDN,,Orchestra Beach,,14470,,,DKI Jakarta,Jakarta Utara,Penjaringan,Dentist-Dental Office,,,,,,,0.375,0.875,0.375,0.875,0.375,0.875,0.375,0.875,0.375,0.875,0.375,0.875,0.375,0.875,,,,2024-04-12,
360qqgvk-f628b503894360355dff9c60997e37d2,Lumos Coffee,,-6.10714,106.74071,-6.10702,106.74037,,3,ACTIVE,IDN,,Jalan Pantai Indah Kapuk,,14470,,,DKI Jakarta,Jakarta Utara,Penjaringan,Coffee Shop,,,,,,,,,,,,,,,,,,,,,,,,2026-01-11,
360qqgvh-b8fd1ce74ce64fc182a10691d987f17a,Coffee with Me,,-6.1122191,106.7471854,-6.11223,106.74723,,5,ACTIVE,IDN,,Jalan Ebony Golf Raya,,14470,,,DKI Jakarta,Jakarta Utara,Penjaringan,Coffee Shop,,https://www.instagram.com/coffeewithmejkt,622000000000,,,,0.375,0.916666667,0.375,0.916666667,0.375,0.916666667,0.375,0.916666667,0.375,0.916666667,0.375,0.916666667,0.375,0.916666667,https://drive.google.com/file/d/1t4LGATmINOyYm8OLR9ZTLKlfVjqM6GRR/view?usp=drive_link,delete,,2026-02-14,
360qqgvh-23b990a73aa89d0da676143ece6d2591,Elevatione Aesthetic and Wellness,,-6.1107512,106.7406629,-6.1106,106.7408,,2,ACTIVE,IDN,,Jalan Marina Indah,,14470,,,DKI Jakarta,Jakarta Utara,Penjaringan,Hair and Beauty,,,,,,,0.416666667,0.916666667,0.416666667,0.916666667,0.416666667,0.916666667,0.416666667,0.916666667,0.416666667,0.916666667,0.416666667,0.916666667,0.416666667,0.916666667,https://drive.google.com/file/d/19bTXtrCx8XbPRy2KcqZ5_XDVFP2dUdeg/view?usp=drive_link,delete,,2024-11-19,
360qqgvm-8c669441d8704ef5cf302f2f4d121284,Fontana Golf Island,,-6.09254,106.74635,-6.09245,106.74638,,3,ACTIVE,IDN,,Jalan Pantai Indah Kapuk,,14470,,,DKI Jakarta,Jakarta Utara,Penjaringan,Therapist,,,,,,,0.375,0.875,0.375,0.875,0.375,0.875,0.375,0.875,0.375,0.875,0.375,0.875,0.375,0.875,,,,2025-06-22,
360qqgvm-f3c317fd49915ae038b0e843c56bb9a9,Beautyct Clinic,,-6.10519,106.75569,-6.10512,106.75565,,3,ACTIVE,IDN,1c,Jalan Layar Permai 9,"Jalan Layar Permai 9 1c, Kapuk Muara Kel., Penjaringan, Jakarta, 14460, Indonesia",14460,,,DKI Jakarta,Jakarta,Penjaringan,Hair and Beauty,,,62816386888,,,,0.416666667,0.75,0.416666667,0.75,0.416666667,0.75,0.416666667,0.75,0.416666667,0.75,0.416666667,0.75,0.416666667,0.75,,,,2023-08-07,
360qqgvj-32c760369fdbaf8b1f230f10a1092bdc,Allganic Salad,,-6.11206,106.74742,-6.11224,106.74737,,3,ACTIVE,IDN,,Jalan Ebony Golf Raya,,14470,,,DKI Jakarta,Jakarta Utara,Penjaringan,Food-Beverage Specialty Store,,,,,,,0.395833333,0.8125,0.395833333,0.8125,0.395833333,0.8125,0.395833333,0.8125,0.395833333,0.8125,0.395833333,0.8125,0.395833333,0.8125,,,,2022-09-14,
3601r4ve-727d81600a4401db597e1d078a389b02,Green Family Relaxation,,-6.112141222,106.7461051,-6.11117,106.74178,,3,ACTIVE,IDN,2,Jalan Marina Raya,"Jalan Marina Raya 2, RT07/RW02, Kamal Muara Kel., Penjaringan, Jakarta Utara, 14470, Indonesia",14470,,,DKI Jakarta,Jakarta Utara,Penjaringan,Therapist,,,6280000000000,,,,0.375,0.916666667,0.375,0.916666667,0.375,0.916666667,0.375,0.916666667,0.375,0.916666667,0.375,0.916666667,0.375,0.916666667,,,,2025-07-30,
360qqgvm-2799013ada03b54fac90795b8d699dc3,Jual Telor Ayam Negri,,-6.10747,106.75196,-6.10739,106.75194,,3,ACTIVE,IDN,,Jalan Layar Permai 2B,,14460,,,DKI Jakarta,Jakarta Utara,Penjaringan,Food-Beverage Specialty Store,,,,,,,,,,,,,,,,,,,,,,,,2024-03-19,
360qqgvm-e88c043f20beaf6963569d516f4d4909,Tosha Food,,-6.10582,106.75501,-6.10588,106.75504,,4,ACTIVE,IDN,,Jalan Layar Permai VIII,,14460,,,DKI Jakarta,Jakarta Utara,Penjaringan,Food-Beverage Specialty Store,,,,,,,,,,,,,,,,,,,,,,,,2024-09-07,
